Designator,Mid X,Mid Y,Rotation,Layer
J1,146.04,-115.316,90.0,top
J2,146.04,-108.204,90.0,top
L1,172.72,-111.76,270.0,top
R1,116.84,-111.76,270.0,top
R10,139.7,-111.76,270.0,top
R11,142.24,-111.76,270.0,top
R12,144.78,-111.76,270.0,top
R13,147.32,-111.76,270.0,top
R14,149.86,-111.76,270.0,top
R15,152.4,-111.76,270.0,top
R16,154.94,-111.76,270.0,top
R17,157.48,-111.76,270.0,top
R2,119.38,-111.76,270.0,top
R20,165.1,-111.76,270.0,top
R21,167.64,-111.76,270.0,top
R22,170.18,-111.76,270.0,top
R3,121.92,-111.76,270.0,top
R4,124.46,-111.76,270.0,top
R5,127.0,-111.76,270.0,top
R6,129.54,-111.76,270.0,top
R7,132.08,-111.76,270.0,top
R8,134.62,-111.76,270.0,top
R9,137.16,-111.76,270.0,top
